subject	origonal_subject	subject_name	subject_category	subject_mapped_with_taxon	subject_mapped_with_database	subject_mapped_with_level	object	origonal_object	object_name	object_category	object_mapped_with_taxon	object_mapped_with_database	object_mapped_with_level	article_curie	config_curator_name	config_curator_organization	file_name	pmc_file_caption	sample_size	p_value	multiple_testing_correction_method	assertion_strength	assertion_method	notes	knowledge_level	agent_type
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	NCBIGene:541927	Globulin	LOC541927	biolink:Gene	NCBITaxon:4577	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000001	Benjamini Hochberg	-0.130325	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C1287267	Platelet count	Finding of platelet count	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000008	Benjamini Hochberg	-0.000739	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	PUBCHEM.COMPOUND:16213644	GGT	gamma-Glutamyltransferase	biolink:MolecularMixture	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000011	Benjamini Hochberg	-0.001788	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	NCBIGene:105262976	GFR	nac	biolink:Gene	NCBITaxon:64838	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000008	Benjamini Hochberg	-0.002922	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	EFO:0004305	Red blood cell count	erythrocyte count	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000017	Benjamini Hochberg	-0.107302	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:60151	Oxidized LDL	oxidised LDL	biolink:ChemicalEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000657	Benjamini Hochberg	-0.002548	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	GTOPDB:4998	IL-6	IL-6	biolink:SmallMolecule	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.002897	Benjamini Hochberg	-0.007411	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	MONDO:0010524	ASAT (SGOT)	X-linked sideroblastic anemia with ataxia	biolink:Disease	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.003461	Benjamini Hochberg	-0.003538	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:82594	Ferritin	Ferritin	biolink:ChemicalEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.018327	Benjamini Hochberg	-0.000191	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:3686	Hemoglobin	chrysarobin	biolink:SmallMolecule	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.049898	Benjamini Hochberg	-0.018355	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C0452123	Carbon dioxide	Toxic effect of carbon dioxide	biolink:Disease	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.046567	Benjamini Hochberg	0.009086	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:89324	Vitamin D	24,25-Dihydroxyvitamin D	biolink:SmallMolecule	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.021294	Benjamini Hochberg	0.001447	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C0024264	Lymphocytes %	Lymphocyte	biolink:Cell	not applicable	kg2	L3	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.020758	Benjamini Hochberg	0.002761	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C4316898	Basophils	Segmented basophil	biolink:Cell	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.016931	Benjamini Hochberg	0.043209	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
