subject	origonal_subject	subject_name	subject_category	subject_mapped_with_taxon	subject_mapped_with_database	subject_mapped_with_level	object	origonal_object	object_name	object_category	object_mapped_with_taxon	object_mapped_with_database	object_mapped_with_level	article_curie	config_curator_name	config_curator_organization	file_name	pmc_file_caption	sample_size	p_value	multiple_testing_correction_method	assertion_strength	assertion_method	notes	knowledge_level	agent_type
NCBITaxon:2701	Gardnerella	Gardnerella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000003	FDR of 10 percent	-0.32155640200000002	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:2701	Gardnerella	Gardnerella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000000	FDR of 10 percent	-0.38298138799999998	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:906	Megasphaera	Megasphaera	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000069	FDR of 10 percent	-0.23355132000000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000033	FDR of 10 percent	9.4752486999999996E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000013	FDR of 10 percent	9.9249125999999993E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	7.9621229999999998E-3	FDR of 10 percent	5.7974895999999998E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1378	Gemella	Gemella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000000	FDR of 10 percent	-1.177648781	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:838	Prevotella	Prevotella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000001	FDR of 10 percent	-0.94382101399999996	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	2.3982308000000001E-2	FDR of 10 percent	0.46357789700000002	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:2701	Gardnerella	Gardnerella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	1.458209E-3	FDR of 10 percent	-0.24957232400000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
